Date	일 강우량(mm)	일 유출량(mm)	증발산량(mm)
06-01	7		0.267137689	5.39421
06-02	0		0.185842899	2.691357
06-03	0		0.152570901	3.680382
06-04	0		0.128496742	3.630191
06-05	2		0.108221154	5.58664
06-06	8		0.270439101	5.806624
06-07	0		0.24006468	5.899083
06-08	5.5		0.215020247	6.20648
06-09	0		0.192588604	5.706459
06-10	0		0.169037184	4.493778
06-11	0		0.145193797	5.081716
06-12	0		0.124713574	3.448552
06-13	0		0.107122216	4.401603
06-14	0		0.086421397	5.076954
06-15	0		0.065083771	6.06403
06-16	0		0.049014449	3.516994
06-17	0.5		0.03743119	4.19681
06-18	0		0.035039247	5.026004
06-19	0		0.035039247	5.019921
06-20	23.5		0.328787245	5.91025
06-21	0		0.155255341	6.04897
06-22	0		0.099106186	5.484558
06-23	0		0.099106186	4.847798
06-24	0		0.099106186	6.415041
06-25	88.5		2.442629726	6.619722
06-26	111		38.23037463	6.509223
06-27	21		12.78541906	6.729375
06-28	0		5.247813905	5.07956
06-29	0		2.574369054	4.531923
06-30	17.5		1.627926817	6.071876
07-01	82		27.36317825	6.950103
07-02	8.5		22.03245165	6.967487
07-03	2.5		9.991364349	6.82459
07-04	1.5		5.178264506	7.37623
07-05	10.5		3.615675205	7.136919
07-06	66.5		14.1967869	6.032065
07-07	0		20.4427043	4.722695
07-08	1.5		8.665934832	6.008144
07-09	0		5.800383342	5.999934
07-10	0		4.487931695	5.124257
07-11	41.5		6.001575884	5.941798
07-12	4		7.31565081	6.09059
07-13	0.5		6.199464018	5.865039
07-14	0		4.967950514	6.047145
07-15	37		5.79080467	6.718225
07-16	41.5		26.43214497	6.447047
07-17	8.5		16.86037986	6.389611
07-18	0.5		9.228297613	4.434924
07-19	0		5.832130336	3.235394
07-20	0		3.413207876	4.688073
07-21	0		2.54662206	5.301505
07-22	0		2.336379857	4.654061
07-23	5		2.143495382	5.400753
07-24	0		1.966534239	6.011
07-25	0		1.999895452	4.032521
07-26	0		1.664744381	5.407727
07-27	0		1.456556194	5.850443
07-28	0		1.456556194	6.322137
07-29	0		1.456556194	6.632509
07-30	0		1.456556194	7.081965
07-31	0		1.456556194	6.794632
08-01	0		1.456556194	4.629215
08-02	27		1.746157867	4.93084
08-03	73		6.415043736	5.683876
08-04	111.5		50.34143928	6.372939
08-05	23		49.92069002	5.046612
08-06	0		14.13282453	4.89
08-07	8.5		8.411890573	5.85225
08-08	3.5		6.319056282	7.011421
08-09	20.5		6.973758495	6.763707
08-10	37.5		16.69734797	6.246891
08-11	8.5		11.08326886	6.104437
08-12	0		7.858344659	4.543555
08-13	0		5.054440146	5.832253
08-14	0		3.082977522	5.481476
08-15	0		2.121517338	4.106011
08-16	0		1.794325841	2.948612
08-17	0		1.71366022	4.356464
08-18	0		1.646945461	5.997639
08-19	0		1.628299007	6.000273
08-20	0		1.615353197	6.042547
08-21	5.5		1.602510542	5.775697
08-22	0		1.589770343	3.008415
08-23	0		1.577131208	2.782497
08-24	0		1.564592438	2.671349
08-25	0		1.552153337	3.666461
08-26	0		1.539813208	4.106374
08-27	0		1.527571354	3.321323
08-28	0		1.515426381	4.229978
08-29	0		1.503378289	4.375418
08-30	0		1.491425684	4.174675
08-31	0		1.479568566	4.110366
