a11	a12	a2	a3	z11	z12	z2	b1	b2
0.100000	0.160000	0.090000	0.007000	30.000000	15.000000	10.000000	0.100000	0.080000	


calculated q	observed q
-5.657953	0.267138
-5.007023	0.185843
-4.838379	0.152571
-4.699006	0.128497
-4.581806	0.108221
-2.936865	0.270439
-4.056380	0.240065
-3.359677	0.215020
-4.251830	0.192589
-4.482791	0.169037
-4.777909	0.145194
-4.516527	0.124714
-4.598065	0.107122
-4.823629	0.086421
-5.224931	0.065084
-4.787054	0.049014
-4.550172	0.037431
-4.751343	0.035039
-4.872069	0.035039
1.139845	0.328787
-1.400181	0.155255
-2.865690	0.099106
-3.625435	0.099106
-4.527895	0.099106
18.658267	2.442630
39.458924	38.230375
28.348101	12.785419
16.020739	5.247814
8.296635	2.574369
7.663193	1.627927
24.366895	27.363178
15.175421	22.032452
7.727387	9.991364
2.561025	5.178265
1.759151	3.615675
16.614173	14.196787
8.501328	20.442704
3.385457	8.665935
-0.273203	5.800383
-2.361385	4.487932
7.263225	6.001576
3.248045	7.315651
-0.191081	6.199464
-2.560219	4.967951
5.713361	5.790805
12.253405	26.432145
7.531594	16.860380
2.889032	9.228298
0.120087	5.832130
-2.030875	3.413208
-3.559303	2.546622
-4.350095	2.336380
-3.700458	2.143495
-4.789766	1.966534
-4.942407	1.999895
-5.401561	1.664744
-5.804535	1.456556
-6.179309	1.456556
-6.492525	1.456556
-6.803881	1.456556
-6.915694	1.456556
-6.395438	1.456556
1.126459	1.746158
18.080786	6.415044
39.006827	50.341439
28.796577	49.920690
16.101975	14.132825
10.025198	8.411891
4.486154	6.319056
5.597250	6.973758
11.010530	16.697348
6.674560	11.083269
2.039952	7.858345
-1.256123	5.054440
-3.253725	3.082978
-4.146289	2.121517
-4.393352	1.794326
-4.920031	1.713660
-5.687079	1.646945
-6.165443	1.628299
-6.470501	1.615353
-5.102325	1.602511
-4.959217	1.589770
-4.800311	1.577131
-4.662874	1.564592
-4.837305	1.552153
-5.060784	1.539813
-4.985762	1.527571
-5.176884	1.515426
-5.331915	1.503378
-5.370791	1.491426
-5.372610	1.479569


RMSE: 6.842296
